number,value,datetime_start,datetime_complete,duration,params_batch_size,params_class_weighting,params_cnn_channels,params_dropout,params_focal_gamma,params_freq_mask_param,params_hidden_size,params_label_smoothing,params_learning_rate,params_loss_type,params_max_grad_norm,params_min_lr_ratio,params_mixup_alpha,params_mixup_prob,params_num_freq_masks,params_num_layers,params_num_time_masks,params_scheduler_type,params_speed_perturb_max,params_speed_perturb_min,params_speed_perturb_prob,params_time_mask_param,params_warmup_epochs,params_weight_decay,user_attrs_repeat_best_f1s,user_attrs_repeat_best_losses,user_attrs_repeat_mean_f1,user_attrs_repeat_robust_score,user_attrs_repeat_std_f1,state
44,0.46173798132146576,2026-05-03 06:49:38.077150,2026-05-03 06:50:04.663010,0 days 00:00:26.585860,64,True,80,0.2545278939069238,,8,192,0.020555598527659803,0.0006923876140924025,ce,0.6591603333949152,0.1864879068993237,0.2428975435752848,0.46484597585001075,1,1,1,warmup_cosine,1.1,0.9,0.13018376580581575,24,5,2.110063411189658e-05,,,,,,PRUNED
45,0.38349585782474727,2026-05-03 06:50:04.759940,2026-05-03 06:50:28.035828,0 days 00:00:23.275888,64,True,80,0.2695317959696219,,8,192,0.03335998432306006,0.0001040282230981105,ce,0.5982150392834438,0.18674431241714273,0.2822286997097989,0.4141776416715136,1,1,1,warmup_cosine,1.1,0.9,0.057564369315542825,32,6,3.0582711723977415e-05,,,,,,PRUNED
46,0.5089385950782989,2026-05-03 06:50:28.131840,2026-05-03 06:50:57.803766,0 days 00:00:29.671926,64,True,80,0.28793435266161815,1.934473465428852,6,192,0.024990427027777935,0.0009014218113269199,focal,1.2953108114151641,0.19875818691992678,0.20959270781209657,0.33856219181114666,1,1,1,warmup_invsqrt,1.1,0.9,0.08074180088706787,20,4,1.507230467476074e-05,,,,,,PRUNED
47,0.48688251607794475,2026-05-03 06:50:57.909193,2026-05-03 06:51:26.405727,0 days 00:00:28.496534,64,True,48,0.3072564999780557,,8,256,0.04547920959416795,0.0009915937413968838,ce,1.1941572237795752,0.22822666868864003,0.1589453490314593,0.47767185514769883,3,2,3,plateau,1.1,0.9,0.1563001078625727,28,5,5.5958539632998384e-05,,,,,,PRUNED
48,0.4901036360608442,2026-05-03 06:51:26.501542,2026-05-03 06:52:00.466792,0 days 00:00:33.965250,64,True,64,0.3090208350487528,,10,192,0.05087534906706845,0.0006012089362179314,ce,1.0164298853531637,0.14861396284728393,0.18365956560641153,0.4492260963191855,2,3,2,warmup_cosine,1.1,0.9,0.18211286276047753,24,2,5.557841929676286e-05,,,,,,PRUNED
49,0.41806626471572955,2026-05-03 06:52:00.564551,2026-05-03 06:52:25.537269,0 days 00:00:24.972718,64,True,48,0.4190209796753455,,8,320,0.04439435844901806,0.000688679090670534,ce,0.8976451576637696,0.17078278453403353,0.1585660982182473,0.37081401510379397,2,2,4,warmup_cosine,1.1,0.9,0.10339026030126094,28,3,9.413957863703462e-05,,,,,,PRUNED
50,0.4519332935248897,2026-05-03 06:52:25.632533,2026-05-03 06:52:51.950263,0 days 00:00:26.317730,64,False,80,0.34301580961333533,2.695499862229448,12,192,0.05796671863397164,0.0007726641221815486,focal,1.8695388719684158,0.20806610052948726,0.3214101616400068,0.4007454361431705,2,3,2,warmup_cosine,1.1,0.9,0.030261332606286946,44,3,6.848718303929253e-05,,,,,,PRUNED
51,0.5581232518467104,2026-05-03 06:52:52.050961,2026-05-03 06:53:43.177640,0 days 00:00:51.126679,32,True,48,0.23979792711299683,,10,192,0.03934477755583979,0.00047225264635408196,ce,1.7052311862275726,0.12190168155967357,0.2129432231825143,0.2071258519773836,1,1,1,plateau,1.1,0.9,0.19644244758765844,16,2,4.4347758399002765e-05,,,,,,PRUNED
52,0.5472023430765048,2026-05-03 06:53:43.274074,2026-05-03 06:54:38.248211,0 days 00:00:54.974137,32,False,48,0.2003168337718724,,10,192,0.03486622033487909,0.00035493263125043004,ce,1.8388136188408473,0.2929209844039366,0.2509012724047161,0.3500401795520082,1,3,1,plateau,1.1,0.9,0.23445950139977362,36,2,0.00016731108544060122,,,,,,PRUNED
53,0.47446038793208334,2026-05-03 06:54:38.356752,2026-05-03 06:55:15.298755,0 days 00:00:36.942003,32,False,48,0.21465762356732163,,10,192,0.030108107277978045,0.0001365492301978717,ce,1.740034300989711,0.27872670402561345,0.13064796391680816,0.3064584899763223,1,3,1,plateau,1.1,0.9,0.2872757002950599,20,2,9.172727427991651e-05,,,,,,PRUNED
